data,fraction,imp_method,ad_method,f1_before,f1_after,recall_before,recall_after,precision_before,precision_after,accuracy_before,accuracy_after,rmse,mae,mape,exec_time
nyc_taxi,0.8999999999999999,KNN,LOF,0.1342434584755404,0.0955631399317406,0.1140096618357487,0.081159420289855,0.1632088520055325,0.1161825726141078,0.8525193798449613,0.8459302325581395,0.2337287242283902,0.1824219060176425,238702109398.7097,1
nyc_taxi,0.8999999999999999,KNN,ChangeFinder,0.0,0.0,0.0,0.0,0.0,0.0,0.8994186046511627,0.898062015503876,0.2337287242283902,0.1824219060176425,238702109398.7097,1
nyc_taxi,0.8999999999999999,KNN,Variance Based Method,0.14375,0.0802359882005899,0.2,0.0657004830917874,0.1121951219512195,0.103030303030303,0.7610465116279069,0.8489341085271318,0.2337287242283902,0.1824219060176425,238702109398.7097,0
nyc_taxi,0.8999999999999999,miceforest,Hotelling T2,0.0560224089635854,0.0238663484486873,0.0289855072463768,0.0144927536231884,0.8333333333333334,0.0675675675675675,0.9020348837209302,0.8811046511627907,0.3252390615718198,0.2794217955132481,38639409522.95084,0
nyc_taxi,0.8999999999999999,miceforest,One-Class SVM,0.1743101807802093,0.1729174891433083,0.442512077294686,0.6347826086956522,0.1085308056872037,0.1000914076782449,0.5795542635658915,0.3909883720930232,0.3252390615718198,0.2794217955132481,38639409522.95084,6
nyc_taxi,0.8999999999999999,miceforest,Isolation Forest,0.1615868408321238,0.1032132424537487,0.1613526570048309,0.102415458937198,0.1618217054263566,0.1040235525024533,0.8320736434108527,0.8215116279069767,0.3252390615718198,0.2794217955132481,38639409522.95084,2
nyc_taxi,0.8999999999999999,miceforest,LOF,0.1342434584755404,0.0773606370875995,0.1140096618357487,0.0657004830917874,0.1632088520055325,0.0940525587828492,0.8525193798449613,0.8428294573643411,0.3252390615718198,0.2794217955132481,38639409522.95084,1
nyc_taxi,0.8999999999999999,miceforest,ChangeFinder,0.0,0.0,0.0,0.0,0.0,0.0,0.8994186046511627,0.8993217054263566,0.3252390615718198,0.2794217955132481,38639409522.95084,1
nyc_taxi,0.8999999999999999,miceforest,Variance Based Method,0.14375,0.1383685800604229,0.2,0.221256038647343,0.1121951219512195,0.1006593406593406,0.7610465116279069,0.7236434108527132,0.3252390615718198,0.2794217955132481,38639409522.95084,0
ambient_temperature_system_failure,0.1,MEAN,Hotelling T2,0.2567947516401124,0.2408963585434173,0.1887052341597796,0.1776859504132231,0.4017595307917888,0.3739130434782609,0.8908765652951699,0.8881243979633962,0.0456734943369348,0.0120073204121209,0.034072255561054,0
ambient_temperature_system_failure,0.1,MEAN,One-Class SVM,0.3634694814134924,0.3524552547039927,0.5454545454545454,0.5289256198347108,0.2725395732966276,0.264280798348245,0.8091371955414889,0.8058345947433604,0.0456734943369348,0.0120073204121209,0.034072255561054,1
ambient_temperature_system_failure,0.1,MEAN,Isolation Forest,0.3347107438016529,0.326221610461115,0.3347107438016529,0.3264462809917355,0.3347107438016529,0.3259972489683631,0.8670703178753268,0.8652814091096739,0.0456734943369348,0.0120073204121209,0.034072255561054,2
ambient_temperature_system_failure,0.1,MEAN,LOF,0.3368421052631579,0.0275303643724696,0.2865013774104683,0.0234159779614325,0.4086444007858546,0.0333988212180746,0.8872987477638641,0.834732351726985,0.0456734943369348,0.0120073204121209,0.034072255561054,1
ambient_temperature_system_failure,0.1,MEAN,ChangeFinder,0.0,0.0,0.0,0.0,0.0,0.0,0.8892252648961056,0.8918398238612908,0.0456734943369348,0.0120073204121209,0.034072255561054,1
ambient_temperature_system_failure,0.1,MEAN,Variance Based Method,0.3362175525339926,0.3277511961722488,0.3746556473829201,0.3774104683195592,0.3049327354260089,0.2896405919661733,0.8522086142837485,0.8453281959543141,0.0456734943369348,0.0120073204121209,0.034072255561054,0
ambient_temperature_system_failure,0.1,MODE,Hotelling T2,0.2567947516401124,0.1526104417670682,0.1887052341597796,0.1570247933884297,0.4017595307917888,0.1484375,0.8908765652951699,0.8257878078987202,0.159779589965186,0.0487162354378468,0.100636766289769,0
ambient_temperature_system_failure,0.1,MODE,One-Class SVM,0.3634694814134924,0.2817806333180358,0.5454545454545454,0.4228650137741047,0.2725395732966276,0.2112869924294563,0.8091371955414889,0.7846429062887024,0.159779589965186,0.0487162354378468,0.100636766289769,1
ambient_temperature_system_failure,0.1,MODE,Isolation Forest,0.3344803854094976,0.327598072952512,0.3347107438016529,0.3278236914600551,0.3342503438789546,0.327372764786795,0.8669327095087381,0.8655566258428512,0.159779589965186,0.0487162354378468,0.100636766289769,2
ambient_temperature_system_failure,0.1,MODE,LOF,0.3368421052631579,0.3190283400809717,0.2865013774104683,0.2713498622589532,0.4086444007858546,0.387033398821218,0.8872987477638641,0.8842713636989129,0.159779589965186,0.0487162354378468,0.100636766289769,1
ambient_temperature_system_failure,0.1,MODE,ChangeFinder,0.0,0.0,0.0,0.0,0.0,0.0,0.8893628732626944,0.8980322003577818,0.159779589965186,0.0487162354378468,0.100636766289769,1
ambient_temperature_system_failure,0.1,MODE,Variance Based Method,0.3362175525339926,0.2399512789281364,0.3746556473829201,0.2713498622589532,0.3049327354260089,0.2150655021834061,0.8522086142837485,0.8282647584973166,0.159779589965186,0.0487162354378468,0.100636766289769,0
ambient_temperature_system_failure,0.1,MEDIAN,Hotelling T2,0.2567947516401124,0.2388059701492537,0.1887052341597796,0.1763085399449036,0.4017595307917888,0.3699421965317919,0.8908765652951699,0.8877115728636301,0.0459545474161746,0.0119057190659693,0.0353932822331479,0
ambient_temperature_system_failure,0.1,MEDIAN,One-Class SVM,0.3634694814134924,0.3524552547039927,0.5454545454545454,0.5289256198347108,0.2725395732966276,0.264280798348245,0.8091371955414889,0.8058345947433604,0.0459545474161746,0.0119057190659693,0.0353932822331479,1
ambient_temperature_system_failure,0.1,MEDIAN,Isolation Forest,0.3331039229181005,0.3303509979353062,0.3333333333333333,0.3305785123966942,0.3328748280605227,0.3301237964236588,0.8666574927755607,0.866107059309206,0.0459545474161746,0.0119057190659693,0.0353932822331479,2
ambient_temperature_system_failure,0.1,MEDIAN,LOF,0.3368421052631579,0.0113360323886639,0.2865013774104683,0.0096418732782369,0.4086444007858546,0.0137524557956778,0.8872987477638641,0.8319801843952113,0.0459545474161746,0.0119057190659693,0.0353932822331479,1
ambient_temperature_system_failure,0.1,MEDIAN,ChangeFinder,0.0,0.0,0.0,0.0,0.0,0.0,0.8893628732626944,0.8918398238612908,0.0459545474161746,0.0119057190659693,0.0353932822331479,1
ambient_temperature_system_failure,0.1,MEDIAN,Variance Based Method,0.3362175525339926,0.3239689181111775,0.3746556473829201,0.3732782369146005,0.3049327354260089,0.2861668426610348,0.8522086142837485,0.8443649373881932,0.0459545474161746,0.0119057190659693,0.0353932822331479,0
ambient_temperature_system_failure,0.1,INTERPOLATION,Hotelling T2,0.2567947516401124,0.2566037735849056,0.1887052341597796,0.18732782369146,0.4017595307917888,0.4071856287425149,0.8908765652951699,0.8915646071281134,0.0081535183179998,0.0024049275469903,0.0057299486631957,0
ambient_temperature_system_failure,0.1,INTERPOLATION,One-Class SVM,0.3634694814134924,0.364387333639284,0.5454545454545454,0.546831955922865,0.2725395732966276,0.2732278045423262,0.8091371955414889,0.8094124122746663,0.0081535183179998,0.0024049275469903,0.0057299486631957,1
ambient_temperature_system_failure,0.1,INTERPOLATION,Isolation Forest,0.339986235375086,0.3358568479008947,0.3402203856749311,0.3360881542699724,0.3397524071526822,0.3356258596973865,0.8680335764414476,0.8672079262419156,0.0081535183179998,0.0024049275469903,0.0057299486631957,2
ambient_temperature_system_failure,0.1,INTERPOLATION,LOF,0.3368421052631579,0.3352226720647773,0.2865013774104683,0.2851239669421487,0.4086444007858546,0.4066797642436149,0.8872987477638641,0.8870235310306867,0.0081535183179998,0.0024049275469903,0.0057299486631957,1
ambient_temperature_system_failure,0.1,INTERPOLATION,ChangeFinder,0.0,0.0,0.0,0.0,0.0,0.0,0.8893628732626944,0.8895004816292831,0.0081535183179998,0.0024049275469903,0.0057299486631957,1
ambient_temperature_system_failure,0.1,INTERPOLATION,Variance Based Method,0.3362175525339926,0.3323038912909203,0.3746556473829201,0.3705234159779614,0.3049327354260089,0.3012318029115342,0.8522086142837485,0.8512453557176276,0.0081535183179998,0.0024049275469903,0.0057299486631957,0
ambient_temperature_system_failure,0.1,GAIN,Hotelling T2,0.2567947516401124,0.1937799043062201,0.1887052341597796,0.1115702479338843,0.4017595307917888,0.7363636363636363,0.8908765652951699,0.907251960919224,0.1165618123018362,0.0343152966800925,0.0673709699155279,0
ambient_temperature_system_failure,0.1,GAIN,One-Class SVM,0.3634694814134924,0.3065304309195913,0.5454545454545454,0.4752066115702479,0.2725395732966276,0.2262295081967213,0.8091371955414889,0.7851933397550571,0.1165618123018362,0.0343152966800925,0.0673709699155279,1
ambient_temperature_system_failure,0.1,GAIN,Isolation Forest,0.3319559228650138,0.327598072952512,0.3319559228650138,0.3278236914600551,0.3319559228650138,0.327372764786795,0.8665198844089721,0.8655566258428512,0.1165618123018362,0.0343152966800925,0.0673709699155279,2
ambient_temperature_system_failure,0.1,GAIN,LOF,0.3368421052631579,0.302834008097166,0.2865013774104683,0.2575757575757575,0.4086444007858546,0.3673870333988212,0.8872987477638641,0.8815191963671392,0.1165618123018362,0.0343152966800925,0.0673709699155279,1
ambient_temperature_system_failure,0.1,GAIN,ChangeFinder,0.0,0.0,0.0,0.0,0.0,0.0,0.8893628732626944,0.8973441585248383,0.1165618123018362,0.0343152966800925,0.0673709699155279,1
